"id","name","code","account_type","tag_ids","reconcile","name@zh_CN"
"account_template_1001","Cash on Hand","1001","asset_current","","False","库存现金"
"account_template_1002","银行存款","1002","asset_current","","False","银行存款"
"account_template_100201","银行","100201","asset_current","","False","银行"
"account_template_100207","银行暂记账户","100207","asset_current","","False","银行暂记账户"
"account_template_100208","未对账收款","100208","asset_current","","True","未对账收款"
"account_template_100209","未对账付款","100209","asset_current","","True","未对账付款"
"account_template_1011","零余额账户用款额度","1011","asset_current","","False","零余额账户用款额度"
"account_template_1021","其他货币资金","1021","asset_current","","False","其他货币资金"
"account_template_1101","短期投资","1101","asset_current","","False","短期投资"
"account_template_1201","财政应返还额度","1201","asset_current","","False","财政应返还额度"
"account_template_1211","应收票据","1211","asset_receivable","","True","应收票据"
"account_template_1212","Accounts Receivable","1212","asset_receivable","","True","应收账款"
"account_template_1214","预付账款","1214","asset_prepayments","","False","预付账款"
"account_template_1215","应收股利","1215","asset_receivable","","True","应收股利"
"account_template_1216","应收利息","1216","asset_receivable","","True","应收利息"
"account_template_1218","其他应收款","1218","asset_receivable","","True","其他应收款"
"account_template_121901","应收账款坏账准备","121901","asset_current","","False","应收账款坏账准备"
"account_template_121902","其他应收款坏账准备","121902","asset_current","","False","其他应收款坏账准备"
"account_template_1301","Materials in Transit","1301","asset_current","","False","在途物品"
"account_template_1302","库存物品","1302","asset_current","","False","库存物品"
"account_template_1303","加工物品","1303","asset_current","","False","加工物品"
"account_template_1401","待摊费用","1401","asset_current","","False","待摊费用"
"account_template_1501","长期股权投资","1501","asset_non_current","","False","长期股权投资"
"account_template_1502","长期债券投资","1502","asset_non_current","","False","长期债券投资"
"account_template_1601","Fixed assets","1601","asset_fixed","","False","固定资产"
"account_template_1602","固定资产累计折旧","1602","asset_fixed","","False","固定资产累计折旧"
"account_template_1611","工程物资","1611","asset_fixed","","False","工程物资"
"account_template_1613","在建工程","1613","asset_fixed","","False","在建工程"
"account_template_1701","Intangible Assets","1701","asset_non_current","","False","无形资产"
"account_template_1702","无形资产累计摊销","1702","asset_non_current","","False","无形资产累计摊销"
"account_template_1703","研发支出","1703","asset_non_current","","False","研发支出"
"account_template_1801","公共基础设施","1801","asset_non_current","","False","公共基础设施"
"account_template_1802","公共基础设施累计折旧（摊销）","1802","asset_non_current","","False","公共基础设施累计折旧（摊销）"
"account_template_1811","政府储备物资","1811","asset_non_current","","False","政府储备物资"
"account_template_1821","文物文化资产","1821","asset_non_current","","False","文物文化资产"
"account_template_1831","保障性住房","1831","asset_non_current","","False","保障性住房"
"account_template_1832","保障性住房累计折旧","1832","asset_non_current","","False","保障性住房累计折旧"
"account_template_1891","受托代理资产","1891","asset_non_current","","False","受托代理资产"
"account_template_1901","长期待摊费用","1901","asset_non_current","","False","长期待摊费用"
"account_template_1902","待处理财产损溢","1902","asset_non_current","","False","待处理财产损溢"
"account_template_2001","短期借款","2001","liability_current","","False","短期借款"
"account_template_2101","应交增值税","2101","liability_current","","False","应交增值税"
"account_template_2102","其他应交税费","2102","liability_current","","False","其他应交税费"
"account_template_2103","应缴财政款","2103","liability_current","","False","应缴财政款"
"account_template_2201","应付职工薪酬","2201","liability_current","","False","应付职工薪酬"
"account_template_2301","应付票据","2301","liability_payable","","True","应付票据"
"account_template_2302","Accounts Payable","2302","liability_payable","","True","应付账款"
"account_template_2303","应付政府补贴款","2303","liability_current","","False","应付政府补贴款"
"account_template_2304","应付利息","2304","liability_current","","False","应付利息"
"account_template_2305","预收账款","2305","liability_current","","False","预收账款"
"account_template_2307","其他应付款","2307","liability_current","","False","其他应付款"
"account_template_2401","预提费用","2401","liability_current","","False","预提费用"
"account_template_2501","长期借款","2501","liability_non_current","","False","长期借款"
"account_template_2502","长期应付款","2502","liability_non_current","","False","长期应付款"
"account_template_2601","预计负债","2601","liability_non_current","","False","预计负债"
"account_template_2901","受托代理负债","2901","liability_non_current","","False","受托代理负债"
"account_template_3001","累计盈余","3001","equity","","False","累计盈余"
"account_template_3101","专用基金","3101","equity","","False","专用基金"
"account_template_3201","权益法调整","3201","equity","","False","权益法调整"
"account_template_3301","本期盈余","3301","equity","","False","本期盈余"
"account_template_3302","本年盈余分配","3302","equity_unaffected","","False","本年盈余分配"
"account_template_3401","无偿调拨净资产","3401","equity","","False","无偿调拨净资产"
"account_template_3501","以前年度盈余调整","3501","equity","","False","以前年度盈余调整"
"account_template_4001","财政拨款收入","4001","income_other","","False","财政拨款收入"
"account_template_4101","事业收入","4101","income","","False","事业收入"
"account_template_4201","上级补助收入","4201","income_other","","False","上级补助收入"
"account_template_4301","附属单位上缴收入","4301","income_other","","False","附属单位上缴收入"
"account_template_4401","经营收入","4401","income_other","","False","经营收入"
"account_template_4601","非同级财政拨款收入","4601","income_other","","False","非同级财政拨款收入"
"account_template_4602","投资收益","4602","income_other","","False","投资收益"
"account_template_4603","捐赠收入","4603","income_other","","False","捐赠收入"
"account_template_4604","利息收入","4604","income_other","","False","利息收入"
"account_template_4605","租金收入","4605","income_other","","False","租金收入"
"account_template_4609","其他收入","4609","income_other","","False","其他收入"
"account_template_5001","业务活动费用","5001","expense_direct_cost","","False","业务活动费用"
"account_template_5101","单位管理费用","5101","expense","","False","单位管理费用"
"account_template_5201","经营费用","5201","expense","","False","经营费用"
"account_template_5301","资产处置费用","5301","expense","","False","资产处置费用"
"account_template_5401","上缴上级费用","5401","expense","","False","上缴上级费用"
"account_template_5501","对附属单位补助费用","5501","expense","","False","对附属单位补助费用"
"account_template_5801","所得税费用","5801","expense","","False","所得税费用"
"account_template_590101","利息费用","590101","expense","","False","利息费用"
"account_template_590102","坏账损失","590102","expense","","False","坏账损失"
"account_template_590103","罚没支出","590103","expense","","False","罚没支出"
"account_template_590104","现金资产捐赠","590104","expense","","False","现金资产捐赠"
"account_template_6001","财政拨款预算收入","6001","off_balance","","False","财政拨款预算收入"
"account_template_6101","事业预算收入","6101","off_balance","","False","事业预算收入"
"account_template_6201","上级补助预算收入","6201","off_balance","","False","上级补助预算收入"
"account_template_6301","附属单位上缴预算收入","6301","off_balance","","False","附属单位上缴预算收入"
"account_template_6401","经营预算收入","6401","off_balance","","False","经营预算收入"
"account_template_6501","债务预算收入","6501","off_balance","","False","债务预算收入"
"account_template_6601","非同级财政拨款预算收入","6601","off_balance","","False","非同级财政拨款预算收入"
"account_template_6602","投资预算收益","6602","off_balance","","False","投资预算收益"
"account_template_6609","其他预算收入","6609","off_balance","","False","其他预算收入"
"account_template_7101","行政支出","7101","off_balance","","False","行政支出"
"account_template_7201","事业支出","7201","off_balance","","False","事业支出"
"account_template_7301","经营支出","7301","off_balance","","False","经营支出"
"account_template_7401","上缴上级支出","7401","off_balance","","False","上缴上级支出"
"account_template_7501","对附属单位补助支出","7501","off_balance","","False","对附属单位补助支出"
"account_template_7601","投资支出","7601","off_balance","","False","投资支出"
"account_template_7701","债务还本支出","7701","off_balance","","False","债务还本支出"
"account_template_7901","其他支出","7901","off_balance","","False","其他支出"
"account_template_8001","资金结存","8001","off_balance","","False","资金结存"
"account_template_8101","财政拨款结转","8101","off_balance","","False","财政拨款结转"
"account_template_8102","财政拨款结余","8102","off_balance","","False","财政拨款结余"
"account_template_8201","非财政拨款结转","8201","off_balance","","False","非财政拨款结转"
"account_template_8202","非财政拨款结余","8202","off_balance","","False","非财政拨款结余"
"account_template_8301","专用结余","8301","off_balance","","False","专用结余"
"account_template_8401","经营结余","8401","off_balance","","False","经营结余"
"account_template_8501","其他结余","8501","off_balance","","False","其他结余"
"account_template_8701","非财政拨款结余分配","8701","off_balance","","False","非财政拨款结余分配"
